Epoch = 0, Training loss = 0.073345
Predicted cost: 1.772097, actual cost: 2.558959, loss: 0.619151
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.806179, actual cost: 1.632103, loss: 0.682150
Predicted cost: 0.181529, actual cost: 0.000000, loss: 0.032953
Predicted cost: 0.075802, actual cost: 0.000195, loss: 0.005716
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 1.274868, actual cost: 0.785792, loss: 0.239195
Predicted cost: 0.869440, actual cost: 0.869172, loss: 0.000000
Predicted cost: 1.893031, actual cost: 2.064174, loss: 0.029290
Predicted cost: 0.000000, actual cost: 0.000001, loss: 0.000000
Predicted cost: 0.010733, actual cost: 0.103703, loss: 0.008643
Predicted cost: 1.226110, actual cost: 0.736548, loss: 0.239671
Predicted cost: 0.000000, actual cost: 0.122163, loss: 0.014924
Predicted cost: 2.588565, actual cost: 2.547525, loss: 0.001684
Predicted cost: 2.657853, actual cost: 2.710065, loss: 0.002726
Predicted cost: 3.684994, actual cost: 1.670100, loss: 4.059800
Predicted cost: 0.124305, actual cost: 1.057686, loss: 0.871199
Predicted cost: 0.240753, actual cost: 0.443386, loss: 0.041060
Predicted cost: 0.000000, actual cost: 0.000030, loss: 0.000000
Predicted cost: 1.551137, actual cost: 2.418989, loss: 0.753166
Predicted cost: 0.366400, actual cost: 0.507393, loss: 0.019879
Predicted cost: 0.088127, actual cost: 0.000058, loss: 0.007756
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000058, loss: 0.000000
Predicted cost: 0.428916, actual cost: 0.460855, loss: 0.001020
Predicted cost: 1.686303, actual cost: 2.127365, loss: 0.194535
Predicted cost: 0.026745, actual cost: 0.197242, loss: 0.029069
Predicted cost: 0.667830, actual cost: 1.798017, loss: 1.277322
Predicted cost: 0.549176, actual cost: 0.395567, loss: 0.023596
Predicted cost: 0.991508, actual cost: 2.060631, loss: 1.143024
Predicted cost: 0.598099, actual cost: 0.840433, loss: 0.058726
Predicted cost: 0.272264, actual cost: 0.000505, loss: 0.073853
Predicted cost: 0.249703, actual cost: 0.029495, loss: 0.048491
Predicted cost: 0.000000, actual cost: 0.121591, loss: 0.014784
Predicted cost: 2.062332, actual cost: 1.900201, loss: 0.026286
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.007830, actual cost: 0.119713, loss: 0.012518
Predicted cost: 2.227545, actual cost: 1.420186, loss: 0.651829
Predicted cost: 10.623667, actual cost: 16.541349, loss: 35.018967
Predicted cost: 1.766233, actual cost: 1.443478, loss: 0.104170
Predicted cost: 2.438762, actual cost: 2.528003, loss: 0.007964
Predicted cost: 0.275664, actual cost: 0.168073, loss: 0.011576
Predicted cost: 1.323450, actual cost: 1.365413, loss: 0.001761
Predicted cost: 2.339650, actual cost: 1.793401, loss: 0.298387
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.119745, actual cost: 0.172282, loss: 0.002760
Predicted cost: 0.699083, actual cost: 0.736919, loss: 0.001432
Predicted cost: 0.005132, actual cost: 0.004202, loss: 0.000001
Predicted cost: 1.958296, actual cost: 1.734321, loss: 0.050165
Predicted cost: 3.659361, actual cost: 2.960842, loss: 0.487929
Predicted cost: 5.774929, actual cost: 5.154523, loss: 0.384903
Predicted cost: 0.038681, actual cost: 0.000626, loss: 0.001448
Predicted cost: 0.000000, actual cost: 0.005354, loss: 0.000029
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 3.445397, actual cost: 3.156213, loss: 0.083627
Predicted cost: 2.221295, actual cost: 1.581859, loss: 0.408879
Predicted cost: 0.000000, actual cost: 0.000003, loss: 0.000000
Predicted cost: 0.078836, actual cost: 0.000720, loss: 0.006102
Predicted cost: 0.937648, actual cost: 0.225272, loss: 0.507480
Predicted cost: 0.143305, actual cost: 0.000000, loss: 0.020536
Predicted cost: 0.723672, actual cost: 0.192656, loss: 0.281978
Predicted cost: 1.669992, actual cost: 2.711443, loss: 1.084622
Predicted cost: 3.532518, actual cost: 2.926551, loss: 0.367196
Predicted cost: 2.198015, actual cost: 1.706093, loss: 0.241987
Predicted cost: 4.569150, actual cost: 4.033910, loss: 0.286482
Predicted cost: 0.744187, actual cost: 0.064753, loss: 0.461630
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.686073, actual cost: 0.949361, loss: 0.069321
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.063568, loss: 0.004041
Predicted cost: 3.251533, actual cost: 2.358973, loss: 0.796663
Predicted cost: 0.779747, actual cost: 0.793246, loss: 0.000182
Predicted cost: 0.534309, actual cost: 0.019040, loss: 0.265503
Predicted cost: 1.945362, actual cost: 3.016406, loss: 1.147135
Predicted cost: 1.295646, actual cost: 2.015080, loss: 0.517584
Predicted cost: 0.601874, actual cost: 0.000000, loss: 0.362252
Predicted cost: 2.702060, actual cost: 2.478008, loss: 0.050199
Predicted cost: 1.245086, actual cost: 2.050170, loss: 0.648160
Predicted cost: 2.316603, actual cost: 2.155730, loss: 0.025880
Predicted cost: 0.000000, actual cost: 0.010275, loss: 0.000106
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.047180, loss: 0.002226
Predicted cost: 1.410963, actual cost: 1.480160, loss: 0.004788
Predicted cost: 0.000000, actual cost: 0.187428, loss: 0.035129
Predicted cost: 0.000000, actual cost: 0.000687, loss: 0.000000
Predicted cost: 4.912509, actual cost: 4.387399, loss: 0.275741
Predicted cost: 0.975902, actual cost: 1.197789, loss: 0.049234
Predicted cost: 0.089358, actual cost: 0.159198, loss: 0.004878
Predicted cost: 2.554816, actual cost: 3.521448, loss: 0.934378
Predicted cost: 0.147531, actual cost: 0.059744, loss: 0.007707
Predicted cost: 0.890342, actual cost: 1.159518, loss: 0.072456
Predicted cost: 3.241469, actual cost: 2.679978, loss: 0.315273
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.313092, actual cost: 0.502196, loss: 0.035760
Predicted cost: 0.121893, actual cost: 0.258221, loss: 0.018585
Predicted cost: 0.142728, actual cost: 0.327729, loss: 0.034226
Predicted cost: 0.113154, actual cost: 0.568099, loss: 0.206975
Predicted cost: 1.760432, actual cost: 1.501861, loss: 0.066859
Predicted cost: 7.268857, actual cost: 6.908464, loss: 0.129883
Predicted cost: 4.866656, actual cost: 4.470883, loss: 0.156636
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000107, loss: 0.000000
Predicted cost: 0.480580, actual cost: 0.540492, loss: 0.003589
Predicted cost: 0.280361, actual cost: 0.011856, loss: 0.072095
Predicted cost: 4.505425, actual cost: 4.292752, loss: 0.045230
Predicted cost: 0.192755, actual cost: 0.018426, loss: 0.030391
Predicted cost: 0.000000, actual cost: 0.000139, loss: 0.000000
Predicted cost: 0.125741, actual cost: 0.000000, loss: 0.015811
Predicted cost: 0.027067, actual cost: 0.000261, loss: 0.000719
Predicted cost: 0.373048, actual cost: 0.110561, loss: 0.068899
Predicted cost: 1.285858, actual cost: 1.667907, loss: 0.145962
Predicted cost: 0.004492, actual cost: 0.134937, loss: 0.017016
Predicted cost: 0.348373, actual cost: 1.040682, loss: 0.479292
Predicted cost: 1.518766, actual cost: 1.080935, loss: 0.191696
Predicted cost: 0.475606, actual cost: 0.024970, loss: 0.203073
Predicted cost: 0.000000, actual cost: 0.196446, loss: 0.038591
Predicted cost: 0.000000, actual cost: 0.000019, loss: 0.000000
Predicted cost: 1.589982, actual cost: 1.805320, loss: 0.046371
Predicted cost: 1.038395, actual cost: 1.366181, loss: 0.107443
Predicted cost: 2.042836, actual cost: 1.839716, loss: 0.041258
Predicted cost: 2.309352, actual cost: 3.322674, loss: 1.026822
Predicted cost: 0.131868, actual cost: 0.000000, loss: 0.017389
Predicted cost: 0.702173, actual cost: 1.408001, loss: 0.498194
Predicted cost: 1.889952, actual cost: 1.802933, loss: 0.007572
Predicted cost: 3.161612, actual cost: 2.786695, loss: 0.140563
Predicted cost: 0.000000, actual cost: 0.491281, loss: 0.241357
Predicted cost: 0.279722, actual cost: 0.000789, loss: 0.077804
Predicted cost: 2.569569, actual cost: 2.931736, loss: 0.131165
Predicted cost: 5.807171, actual cost: 4.105186, loss: 2.896754
Predicted cost: 3.125161, actual cost: 3.408942, loss: 0.080531
Predicted cost: 1.628095, actual cost: 1.647592, loss: 0.000380
Predicted cost: 0.000000, actual cost: 0.003522, loss: 0.000012
Predicted cost: 0.878004, actual cost: 0.238631, loss: 0.408798
Predicted cost: 0.275769, actual cost: 1.448802, loss: 1.376006
Predicted cost: 0.000000, actual cost: 0.006040, loss: 0.000036
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.299041, actual cost: 0.000000, loss: 0.089426
Predicted cost: 0.780375, actual cost: 0.550126, loss: 0.053015
Predicted cost: 0.206799, actual cost: 0.000000, loss: 0.042766
Predicted cost: 0.809333, actual cost: 0.609306, loss: 0.040011
Predicted cost: 0.000000, actual cost: 0.262139, loss: 0.068717
Predicted cost: 0.430180, actual cost: 0.000000, loss: 0.185055
Predicted cost: 4.132078, actual cost: 3.935206, loss: 0.038758
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000008, loss: 0.000000
Predicted cost: 0.991413, actual cost: 0.865944, loss: 0.015742
Predicted cost: 0.986639, actual cost: 0.905610, loss: 0.006566
Predicted cost: 0.130548, actual cost: 0.184827, loss: 0.002946
Predicted cost: 0.083235, actual cost: 0.349577, loss: 0.070938
Predicted cost: 2.505187, actual cost: 2.592306, loss: 0.007590
Predicted cost: 2.221295, actual cost: 1.581859, loss: 0.408879
Predicted cost: 0.000000, actual cost: 0.007801, loss: 0.000061
Predicted cost: 0.100290, actual cost: 0.382390, loss: 0.079581
Predicted cost: 2.411663, actual cost: 2.184304, loss: 0.051692
Predicted cost: 0.000000, actual cost: 0.255178, loss: 0.065116
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.676153, actual cost: 1.455296, loss: 0.607064
Predicted cost: 0.000000, actual cost: 0.074711, loss: 0.005582
Predicted cost: 0.502446, actual cost: 0.193899, loss: 0.095201
Predicted cost: 6.302086, actual cost: 5.003088, loss: 1.687394
Predicted cost: 7.453053, actual cost: 8.760062, loss: 1.708274
Predicted cost: 4.736610, actual cost: 4.279607, loss: 0.208852
Predicted cost: 12.083436, actual cost: 12.249922, loss: 0.027718
Predicted cost: 0.332753, actual cost: 0.575004, loss: 0.058685
Predicted cost: 0.013970, actual cost: 0.000175, loss: 0.000190
Predicted cost: 2.607909, actual cost: 3.027333, loss: 0.175916
Predicted cost: 4.454815, actual cost: 4.924660, loss: 0.220755
Predicted cost: 0.539361, actual cost: 0.009303, loss: 0.280962
Predicted cost: 3.942087, actual cost: 4.105349, loss: 0.026654
Predicted cost: 0.098452, actual cost: 0.431741, loss: 0.111082
Predicted cost: 0.214130, actual cost: 0.093100, loss: 0.014648
Predicted cost: 0.215510, actual cost: 0.538478, loss: 0.104308
Predicted cost: 1.717691, actual cost: 1.039022, loss: 0.460592
Predicted cost: 0.000000, actual cost: 0.314624, loss: 0.098988
Predicted cost: 1.433104, actual cost: 1.388597, loss: 0.001981
Predicted cost: 0.193720, actual cost: 0.634605, loss: 0.194379
Predicted cost: 0.043933, actual cost: 0.043171, loss: 0.000001
Predicted cost: 0.000000, actual cost: 0.000112, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.070979, loss: 0.005038
Predicted cost: 3.640630, actual cost: 3.647305, loss: 0.000045
Predicted cost: 0.849071, actual cost: 0.865500, loss: 0.000270
Predicted cost: 1.042473, actual cost: 0.706287, loss: 0.113021
Predicted cost: 2.314230, actual cost: 4.156665, loss: 3.394568
Predicted cost: 1.204773, actual cost: 1.515546, loss: 0.096580
Predicted cost: 0.119771, actual cost: 0.008204, loss: 0.012447
Predicted cost: 0.059435, actual cost: 0.035013, loss: 0.000596
Predicted cost: 1.004512, actual cost: 1.389424, loss: 0.148157
Predicted cost: 0.000000, actual cost: 0.000002, loss: 0.000000
Predicted cost: 0.062827, actual cost: 0.130505, loss: 0.004580
Predicted cost: 0.068651, actual cost: 0.028998, loss: 0.001572
Predicted cost: 6.579081, actual cost: 5.894210, loss: 0.469048
Predicted cost: 0.046446, actual cost: 0.011351, loss: 0.001232
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.352150, actual cost: 0.429853, loss: 0.006038
Predicted cost: 0.000000, actual cost: 0.003501, loss: 0.000012
Predicted cost: 6.733102, actual cost: 5.517979, loss: 1.476524
Predicted cost: 0.000000, actual cost: 0.003011, loss: 0.000009
Predicted cost: 0.705281, actual cost: 0.714932, loss: 0.000093
Predicted cost: 6.875367, actual cost: 7.135006, loss: 0.067412
Predicted cost: 0.246118, actual cost: 0.036693, loss: 0.043859
Predicted cost: 0.587610, actual cost: 0.943102, loss: 0.126375
Predicted cost: 0.357269, actual cost: 0.366588, loss: 0.000087
Predicted cost: 3.501348, actual cost: 2.110602, loss: 1.934172
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.003200, actual cost: 0.000990, loss: 0.000005
Predicted cost: 0.560306, actual cost: 0.000518, loss: 0.313363
Predicted cost: 0.018503, actual cost: 0.000000, loss: 0.000342
Predicted cost: 8.436253, actual cost: 10.484287, loss: 4.194446
Predicted cost: 0.005860, actual cost: 0.151568, loss: 0.021231
Predicted cost: 0.034495, actual cost: 0.006379, loss: 0.000790
Predicted cost: 2.803390, actual cost: 2.593176, loss: 0.044190
Predicted cost: 0.411542, actual cost: 0.467475, loss: 0.003129
Predicted cost: 0.598157, actual cost: 0.000514, loss: 0.357177
Predicted cost: 1.384684, actual cost: 1.048661, loss: 0.112912
Predicted cost: 0.000000, actual cost: 0.000099, loss: 0.000000
Predicted cost: 1.051377, actual cost: 1.306917, loss: 0.065301
Predicted cost: 6.300884, actual cost: 7.153852, loss: 0.727553
Predicted cost: 1.119776, actual cost: 1.038747, loss: 0.006566
Predicted cost: 0.296078, actual cost: 0.070940, loss: 0.050687
Predicted cost: 0.563822, actual cost: 0.000858, loss: 0.316929
Predicted cost: 5.973110, actual cost: 5.693580, loss: 0.078137
Predicted cost: 0.230321, actual cost: 0.128128, loss: 0.010444
Predicted cost: 1.182919, actual cost: 0.795635, loss: 0.149989
Predicted cost: 2.256080, actual cost: 1.652702, loss: 0.364065
Predicted cost: 0.985313, actual cost: 0.822893, loss: 0.026380
Predicted cost: 2.222981, actual cost: 1.937506, loss: 0.081496
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.007251, loss: 0.000053
Predicted cost: 0.031672, actual cost: 0.202591, loss: 0.029213
Predicted cost: 0.000000, actual cost: 0.020377, loss: 0.000415
Predicted cost: 0.013106, actual cost: 0.000000, loss: 0.000172
Predicted cost: 0.054371, actual cost: 0.096506, loss: 0.001775
Predicted cost: 6.154525, actual cost: 8.257070, loss: 4.420692
Predicted cost: 0.250599, actual cost: 0.020309, loss: 0.053034
Predicted cost: 1.017693, actual cost: 1.467783, loss: 0.202581
Predicted cost: 0.000000, actual cost: 0.000293, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.113867, loss: 0.012966
Predicted cost: 0.000000, actual cost: 0.000004, loss: 0.000000
Predicted cost: 1.496949, actual cost: 1.485639, loss: 0.000128
Predicted cost: 1.449500, actual cost: 1.104476, loss: 0.119042
Predicted cost: 0.707853, actual cost: 2.470530, loss: 3.107031
Predicted cost: 2.095367, actual cost: 1.783902, loss: 0.097010
Predicted cost: 1.482281, actual cost: 1.266338, loss: 0.046631
Predicted cost: 0.275324, actual cost: 0.000303, loss: 0.075636
Predicted cost: 0.983369, actual cost: 0.917350, loss: 0.004359
Predicted cost: 0.000000, actual cost: 0.000224, loss: 0.000000
Predicted cost: 0.037531, actual cost: 0.002842, loss: 0.001203
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 1.859095, actual cost: 1.903818, loss: 0.002000
Predicted cost: 2.663004, actual cost: 2.771706, loss: 0.011816
Predicted cost: 0.041785, actual cost: 0.095789, loss: 0.002916
Predicted cost: 0.238535, actual cost: 0.508630, loss: 0.072951
Predicted cost: 1.921186, actual cost: 1.975155, loss: 0.002913
Predicted cost: 0.205896, actual cost: 0.003377, loss: 0.041014
Predicted cost: 0.000000, actual cost: 0.006496, loss: 0.000042
Predicted cost: 2.520545, actual cost: 1.667758, loss: 0.727247
Predicted cost: 0.000000, actual cost: 0.000549, loss: 0.000000
Predicted cost: 0.818162, actual cost: 1.074089, loss: 0.065499
Predicted cost: 0.384166, actual cost: 0.046116, loss: 0.114278
Predicted cost: 0.215595, actual cost: 0.000549, loss: 0.046245
Predicted cost: 1.298643, actual cost: 1.564250, loss: 0.070547
Predicted cost: 2.327067, actual cost: 2.484355, loss: 0.024740
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 3.195740, actual cost: 4.035549, loss: 0.705278
Predicted cost: 0.536689, actual cost: 0.735940, loss: 0.039701
Predicted cost: 0.000000, actual cost: 0.245969, loss: 0.060501
Predicted cost: 0.061119, actual cost: 0.054321, loss: 0.000046
Predicted cost: 2.913233, actual cost: 3.364100, loss: 0.203281
Predicted cost: 0.103840, actual cost: 0.000248, loss: 0.010731
Predicted cost: 0.000000, actual cost: 0.156631, loss: 0.024533
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.058556, actual cost: 0.020403, loss: 0.001456
Predicted cost: 1.018152, actual cost: 1.018729, loss: 0.000000
Predicted cost: 2.759405, actual cost: 3.868501, loss: 1.230094
Predicted cost: 0.000000, actual cost: 0.707116, loss: 0.500013
Predicted cost: 0.052078, actual cost: 0.028665, loss: 0.000548
Predicted cost: 0.324610, actual cost: 0.237484, loss: 0.007591
Predicted cost: 0.170950, actual cost: 0.000647, loss: 0.029003
Predicted cost: 0.829967, actual cost: 0.786477, loss: 0.001891
Predicted cost: 0.485629, actual cost: 0.901876, loss: 0.173261
Predicted cost: 1.251526, actual cost: 1.994370, loss: 0.551817
Predicted cost: 2.355808, actual cost: 2.486028, loss: 0.016957
Predicted cost: 0.255507, actual cost: 0.632336, loss: 0.142000
Predicted cost: 0.067991, actual cost: 0.000014, loss: 0.004621
Predicted cost: 0.000000, actual cost: 0.009494, loss: 0.000090
Predicted cost: 0.199757, actual cost: 0.184227, loss: 0.000241
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.218160, actual cost: 0.000367, loss: 0.047434
Predicted cost: 0.154702, actual cost: 0.030014, loss: 0.015547
Predicted cost: 0.102215, actual cost: 0.007173, loss: 0.009033
Predicted cost: 0.804524, actual cost: 0.688047, loss: 0.013567
Predicted cost: 0.808050, actual cost: 0.344580, loss: 0.214805
Predicted cost: 0.000000, actual cost: 0.018187, loss: 0.000331
Predicted cost: 1.646801, actual cost: 0.781148, loss: 0.749355
Predicted cost: 13.962212, actual cost: 19.727365, loss: 33.237000
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 1.146684, actual cost: 0.690919, loss: 0.207722
Predicted cost: 8.176595, actual cost: 7.758070, loss: 0.175163
Predicted cost: 0.047590, actual cost: 0.019135, loss: 0.000810
Predicted cost: 0.037655, actual cost: 0.086423, loss: 0.002378
Predicted cost: 0.065031, actual cost: 0.000359, loss: 0.004182
Predicted cost: 0.898133, actual cost: 2.434172, loss: 2.359418
Predicted cost: 0.000000, actual cost: 0.000106, loss: 0.000000
Predicted cost: 0.724017, actual cost: 0.823865, loss: 0.009970
Predicted cost: 0.480580, actual cost: 0.592173, loss: 0.012453
Predicted cost: 0.679868, actual cost: 1.095459, loss: 0.172716
Predicted cost: 0.309490, actual cost: 0.594032, loss: 0.080964
Predicted cost: 1.816544, actual cost: 1.831518, loss: 0.000224
Predicted cost: 0.877028, actual cost: 0.922892, loss: 0.002104
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 4.239682, actual cost: 3.797591, loss: 0.195445
Predicted cost: 7.174639, actual cost: 8.354280, loss: 1.391555
Predicted cost: 0.012195, actual cost: 0.000000, loss: 0.000149
Predicted cost: 0.420237, actual cost: 0.659443, loss: 0.057220
Predicted cost: 0.829440, actual cost: 2.607289, loss: 3.160747
Predicted cost: 0.172630, actual cost: 0.000000, loss: 0.029801
Predicted cost: 0.550581, actual cost: 0.945902, loss: 0.156278
Predicted cost: 0.210355, actual cost: 0.744720, loss: 0.285547
Predicted cost: 1.254803, actual cost: 1.767292, loss: 0.262645
Predicted cost: 0.000000, actual cost: 0.001091, loss: 0.000001
Predicted cost: 0.233396, actual cost: 0.017860, loss: 0.046456
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.011233, actual cost: 0.009190, loss: 0.000004
Predicted cost: 1.819238, actual cost: 2.335903, loss: 0.266943
Predicted cost: 0.000000, actual cost: 0.000445, loss: 0.000000
Predicted cost: 0.011381, actual cost: 0.013499, loss: 0.000004
Predicted cost: 0.944666, actual cost: 1.088685, loss: 0.020741
Predicted cost: 1.351471, actual cost: 1.518274, loss: 0.027823
Predicted cost: 0.137641, actual cost: 0.111516, loss: 0.000683
Predicted cost: 0.000000, actual cost: 0.003582, loss: 0.000013
Predicted cost: 0.966568, actual cost: 0.823990, loss: 0.020328
Predicted cost: 0.235998, actual cost: 0.428143, loss: 0.036920
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.001225, loss: 0.000001
Predicted cost: 0.346751, actual cost: 1.538912, loss: 1.421249
Predicted cost: 0.588826, actual cost: 0.863154, loss: 0.075256
Predicted cost: 1.656913, actual cost: 0.106213, loss: 2.404669
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.423048, actual cost: 0.217330, loss: 0.042320
Predicted cost: 0.000000, actual cost: 0.051017, loss: 0.002603
Predicted cost: 0.000000, actual cost: 0.003373, loss: 0.000011
Predicted cost: 0.108499, actual cost: 0.000000, loss: 0.011772
Predicted cost: 0.000000, actual cost: 0.000008, loss: 0.000000
Predicted cost: 0.000000, actual cost: 0.000017, loss: 0.000000
Predicted cost: 2.981146, actual cost: 2.937645, loss: 0.001892
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 2.608646, actual cost: 3.103451, loss: 0.244832
Predicted cost: 0.088371, actual cost: 1.084662, loss: 0.992597
Predicted cost: 1.730366, actual cost: 1.460293, loss: 0.072939
Predicted cost: 1.034037, actual cost: 0.702914, loss: 0.109642
Predicted cost: 2.309352, actual cost: 3.278048, loss: 0.938371
Predicted cost: 1.935365, actual cost: 2.093290, loss: 0.024940
Predicted cost: 0.119774, actual cost: 0.005285, loss: 0.013108
Predicted cost: 0.053791, actual cost: 0.000110, loss: 0.002882
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 2.305718, actual cost: 2.590420, loss: 0.081055
Predicted cost: 0.188456, actual cost: 0.473963, loss: 0.081514
Predicted cost: 0.000000, actual cost: 0.000010, loss: 0.000000
Predicted cost: 2.221295, actual cost: 1.582079, loss: 0.408597
Predicted cost: 0.000000, actual cost: 0.000840, loss: 0.000001
Predicted cost: 0.000000, actual cost: 0.008927, loss: 0.000080
Predicted cost: 0.199886, actual cost: 0.000000, loss: 0.039955
Predicted cost: 0.575679, actual cost: 0.875765, loss: 0.090052
Predicted cost: 0.000000, actual cost: 0.005910, loss: 0.000035
Predicted cost: 0.000000, actual cost: 0.004183, loss: 0.000017
Predicted cost: 0.133881, actual cost: 0.001657, loss: 0.017483
Predicted cost: 1.193658, actual cost: 0.964531, loss: 0.052499
Predicted cost: 1.061996, actual cost: 0.949818, loss: 0.012584
Predicted cost: 0.000000, actual cost: 0.600444, loss: 0.360534
Predicted cost: 0.767794, actual cost: 0.507761, loss: 0.067617
Predicted cost: 2.308269, actual cost: 3.099112, loss: 0.625432
Predicted cost: 0.262780, actual cost: 0.442652, loss: 0.032354
