Test sample: 0, Best fit sample: 87864, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 79, Best fit sample: 3131, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 80, Best fit sample: 309, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 81, Best fit sample: 10433, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 82, Best fit sample: 4970, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 83, Best fit sample: 6672, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 84, Best fit sample: 38085, Predicted cost: 0.000000, Actual cost: 0.000046, Square loss: 0.000000
Test sample: 85, Best fit sample: 38086, Predicted cost: 0.000158, Actual cost: 0.000250, Square loss: 0.000000
Test sample: 86, Best fit sample: 38086, Predicted cost: 0.000158, Actual cost: 1.151384, Square loss: 1.325321
Test sample: 87, Best fit sample: 390, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 88, Best fit sample: 90246, Predicted cost: 0.001531, Actual cost: 0.000000, Square loss: 0.000002
Test sample: 89, Best fit sample: 49046, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 90, Best fit sample: 7040, Predicted cost: 0.000000, Actual cost: 0.246109, Square loss: 0.060569
Test sample: 91, Best fit sample: 35185, Predicted cost: 0.000417, Actual cost: 0.246367, Square loss: 0.060491
Test sample: 92, Best fit sample: 34905, Predicted cost: 0.006498, Actual cost: 0.410173, Square loss: 0.162954
Test sample: 93, Best fit sample: 12471, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 94, Best fit sample: 3094, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 95, Best fit sample: 238, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 96, Best fit sample: 6897, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 97, Best fit sample: 48924, Predicted cost: 0.001537, Actual cost: 0.005612, Square loss: 0.000017
Test sample: 98, Best fit sample: 71916, Predicted cost: 0.000000, Actual cost: 1.046487, Square loss: 1.095135
Test sample: 99, Best fit sample: 72650, Predicted cost: 0.000599, Actual cost: 4.949068, Square loss: 24.487345
Test sample: 100, Best fit sample: 917, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 101, Best fit sample: 73225, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 102, Best fit sample: 54088, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 103, Best fit sample: 66620, Predicted cost: 0.000000, Actual cost: 0.000007, Square loss: 0.000000
Test sample: 104, Best fit sample: 66620, Predicted cost: 0.000000, Actual cost: 0.000133, Square loss: 0.000000
Test sample: 105, Best fit sample: 96079, Predicted cost: 0.000000, Actual cost: 6.907888, Square loss: 47.718922
Test sample: 106, Best fit sample: 92870, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 107, Best fit sample: 1219, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 108, Best fit sample: 1472, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 109, Best fit sample: 1471, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 110, Best fit sample: 1473, Predicted cost: 0.378369, Actual cost: 0.378369, Square loss: 0.000000
Test sample: 111, Best fit sample: 67169, Predicted cost: 0.378410, Actual cost: 3.373000, Square loss: 8.967565
Test sample: 112, Best fit sample: 349, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 113, Best fit sample: 408, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 114, Best fit sample: 17763, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 115, Best fit sample: 770, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 116, Best fit sample: 269, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 117, Best fit sample: 1685, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 118, Best fit sample: 19300, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 119, Best fit sample: 17279, Predicted cost: 0.000000, Actual cost: 6.908875, Square loss: 47.732547
Test sample: 120, Best fit sample: 50883, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 121, Best fit sample: 152, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 122, Best fit sample: 5676, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 123, Best fit sample: 18327, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 124, Best fit sample: 41420, Predicted cost: 0.151810, Actual cost: 1.476161, Square loss: 1.753907
Test sample: 125, Best fit sample: 74199, Predicted cost: 0.041223, Actual cost: 1.493745, Square loss: 2.109821
Test sample: 126, Best fit sample: 74199, Predicted cost: 0.041223, Actual cost: 1.493752, Square loss: 2.109843
Test sample: 127, Best fit sample: 1857, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 128, Best fit sample: 10651, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 129, Best fit sample: 2039, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 130, Best fit sample: 58984, Predicted cost: 0.000000, Actual cost: 0.002634, Square loss: 0.000007
Test sample: 131, Best fit sample: 84728, Predicted cost: 0.000002, Actual cost: 0.630133, Square loss: 0.397065
Test sample: 132, Best fit sample: 12878, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 133, Best fit sample: 6913, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 134, Best fit sample: 53328, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 135, Best fit sample: 33364, Predicted cost: 0.000000, Actual cost: 1.486672, Square loss: 2.210192
Test sample: 136, Best fit sample: 26536, Predicted cost: 0.011438, Actual cost: 1.486807, Square loss: 2.176711
Test sample: 137, Best fit sample: 2677, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 138, Best fit sample: 26749, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 139, Best fit sample: 264, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 140, Best fit sample: 1792, Predicted cost: 0.000000, Actual cost: 0.000914, Square loss: 0.000001
Test sample: 141, Best fit sample: 79209, Predicted cost: 1.486170, Actual cost: 6.329003, Square loss: 23.453026
Test sample: 142, Best fit sample: 59814, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 143, Best fit sample: 5279, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 144, Best fit sample: 24946, Predicted cost: 0.000000, Actual cost: 2.093775, Square loss: 4.383895
Test sample: 145, Best fit sample: 63438, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 146, Best fit sample: 366, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 147, Best fit sample: 42671, Predicted cost: 0.000005, Actual cost: 0.149929, Square loss: 0.022477
Test sample: 148, Best fit sample: 11270, Predicted cost: 0.006387, Actual cost: 0.000000, Square loss: 0.000041
Test sample: 149, Best fit sample: 66018, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 150, Best fit sample: 74287, Predicted cost: 0.000000, Actual cost: 0.026955, Square loss: 0.000727
Test sample: 151, Best fit sample: 3747, Predicted cost: 0.000882, Actual cost: 0.000000, Square loss: 0.000001
Test sample: 152, Best fit sample: 52409, Predicted cost: 0.011461, Actual cost: 0.000000, Square loss: 0.000131
Test sample: 153, Best fit sample: 536, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 154, Best fit sample: 89077, Predicted cost: 0.000068, Actual cost: 0.000044, Square loss: 0.000000
Test sample: 155, Best fit sample: 3747, Predicted cost: 0.000882, Actual cost: 6.907799, Square loss: 47.705494
Test sample: 156, Best fit sample: 1647, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 157, Best fit sample: 12973, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 158, Best fit sample: 81021, Predicted cost: 0.000000, Actual cost: 0.717533, Square loss: 0.514853
Test sample: 159, Best fit sample: 3665, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 160, Best fit sample: 3706, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 161, Best fit sample: 14209, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 162, Best fit sample: 26754, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 163, Best fit sample: 56206, Predicted cost: 0.000000, Actual cost: 0.061046, Square loss: 0.003727
Test sample: 164, Best fit sample: 52389, Predicted cost: 0.000192, Actual cost: 0.062053, Square loss: 0.003827
Test sample: 165, Best fit sample: 74397, Predicted cost: 0.184068, Actual cost: 0.062219, Square loss: 0.014847
Test sample: 166, Best fit sample: 84303, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 167, Best fit sample: 4698, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 168, Best fit sample: 10919, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 169, Best fit sample: 11932, Predicted cost: 0.048000, Actual cost: 0.074226, Square loss: 0.000688
Test sample: 170, Best fit sample: 95006, Predicted cost: 0.003803, Actual cost: 0.074417, Square loss: 0.004986
Test sample: 171, Best fit sample: 72415, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 172, Best fit sample: 8309, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 173, Best fit sample: 18840, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 174, Best fit sample: 5690, Predicted cost: 0.000000, Actual cost: 7.676033, Square loss: 58.921483
Test sample: 175, Best fit sample: 74819, Predicted cost: 0.913307, Actual cost: 9.535537, Square loss: 74.342845
Test sample: 176, Best fit sample: 93410, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 177, Best fit sample: 1838, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 178, Best fit sample: 77165, Predicted cost: 0.102957, Actual cost: 5.979553, Square loss: 34.534379
Test sample: 179, Best fit sample: 12413, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 180, Best fit sample: 1016, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 181, Best fit sample: 1249, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 182, Best fit sample: 16543, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 183, Best fit sample: 18688, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 184, Best fit sample: 18689, Predicted cost: 0.000116, Actual cost: 0.000116, Square loss: 0.000000
Test sample: 185, Best fit sample: 18690, Predicted cost: 0.000119, Actual cost: 0.000119, Square loss: 0.000000
Test sample: 186, Best fit sample: 18691, Predicted cost: 0.000220, Actual cost: 0.000220, Square loss: 0.000000
Test sample: 187, Best fit sample: 18692, Predicted cost: 0.000234, Actual cost: 6.907975, Square loss: 47.716885
Test sample: 188, Best fit sample: 25846, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 189, Best fit sample: 2364, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 190, Best fit sample: 212, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 191, Best fit sample: 44451, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 192, Best fit sample: 27138, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 193, Best fit sample: 62453, Predicted cost: 0.000000, Actual cost: 6.910560, Square loss: 47.755841
Test sample: 194, Best fit sample: 92649, Predicted cost: 0.000000, Actual cost: 6.956509, Square loss: 48.393019
Test sample: 195, Best fit sample: 25848, Predicted cost: 0.006491, Actual cost: 7.061223, Square loss: 49.769244
Test sample: 196, Best fit sample: 5318, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 197, Best fit sample: 1340, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 198, Best fit sample: 12285, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 199, Best fit sample: 12285, Predicted cost: 0.000000, Actual cost: 0.000400, Square loss: 0.000000
Test sample: 200, Best fit sample: 12287, Predicted cost: 0.000233, Actual cost: 0.001169, Square loss: 0.000001
Test sample: 201, Best fit sample: 44173, Predicted cost: 0.000000, Actual cost: 0.006159, Square loss: 0.000038
Test sample: 202, Best fit sample: 66366, Predicted cost: 0.070274, Actual cost: 0.006284, Square loss: 0.004095
Test sample: 203, Best fit sample: 8395, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 204, Best fit sample: 181, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 205, Best fit sample: 48321, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 206, Best fit sample: 54574, Predicted cost: 0.063333, Actual cost: 3.215351, Square loss: 9.935220
Test sample: 207, Best fit sample: 8397, Predicted cost: 0.146116, Actual cost: 3.268770, Square loss: 9.750969
Test sample: 208, Best fit sample: 34779, Predicted cost: 0.003070, Actual cost: 3.282885, Square loss: 10.757188
Test sample: 209, Best fit sample: 4674, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 210, Best fit sample: 10252, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 211, Best fit sample: 96369, Predicted cost: 0.002247, Actual cost: 2.475900, Square loss: 6.118959
Test sample: 212, Best fit sample: 3860, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 213, Best fit sample: 2372, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 214, Best fit sample: 35897, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 215, Best fit sample: 31394, Predicted cost: 0.878148, Actual cost: 2.326235, Square loss: 2.096954
Test sample: 216, Best fit sample: 28156, Predicted cost: 0.000000, Actual cost: 2.326632, Square loss: 5.413215
Test sample: 217, Best fit sample: 22249, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 218, Best fit sample: 54722, Predicted cost: 0.867721, Actual cost: 1.729156, Square loss: 0.742070
Test sample: 219, Best fit sample: 26013, Predicted cost: 1.122607, Actual cost: 4.576700, Square loss: 11.930759
Test sample: 220, Best fit sample: 4756, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 221, Best fit sample: 70020, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 222, Best fit sample: 551, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 223, Best fit sample: 78, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 224, Best fit sample: 9269, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 225, Best fit sample: 1203, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 226, Best fit sample: 25636, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 227, Best fit sample: 51958, Predicted cost: 0.000000, Actual cost: 0.054056, Square loss: 0.002922
Test sample: 228, Best fit sample: 65510, Predicted cost: 1.362088, Actual cost: 0.054242, Square loss: 1.710459
Test sample: 229, Best fit sample: 78594, Predicted cost: 0.003173, Actual cost: 6.961998, Square loss: 48.425242
Test sample: 230, Best fit sample: 46615, Predicted cost: 0.000000, Actual cost: 7.043890, Square loss: 49.616386
Test sample: 231, Best fit sample: 44437, Predicted cost: 0.003096, Actual cost: 7.044224, Square loss: 49.577475
Test sample: 232, Best fit sample: 3717, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 233, Best fit sample: 10548, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 234, Best fit sample: 8660, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 235, Best fit sample: 18073, Predicted cost: 0.000689, Actual cost: 0.000059, Square loss: 0.000000
Test sample: 236, Best fit sample: 56307, Predicted cost: 0.000000, Actual cost: 0.512152, Square loss: 0.262300
Test sample: 237, Best fit sample: 34824, Predicted cost: 0.609047, Actual cost: 0.560911, Square loss: 0.002317
Test sample: 238, Best fit sample: 501, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 239, Best fit sample: 1615, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 240, Best fit sample: 1616, Predicted cost: 0.000235, Actual cost: 0.000348, Square loss: 0.000000
Test sample: 241, Best fit sample: 71, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 242, Best fit sample: 29937, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 243, Best fit sample: 29938, Predicted cost: 0.002206, Actual cost: 0.010315, Square loss: 0.000066
Test sample: 244, Best fit sample: 29939, Predicted cost: 0.002684, Actual cost: 0.010890, Square loss: 0.000067
Test sample: 245, Best fit sample: 7990, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 246, Best fit sample: 2103, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 247, Best fit sample: 45249, Predicted cost: 0.000000, Actual cost: 4.191641, Square loss: 17.569853
Test sample: 248, Best fit sample: 3819, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 249, Best fit sample: 12048, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 250, Best fit sample: 4794, Predicted cost: 0.000000, Actual cost: 0.098900, Square loss: 0.009781
Test sample: 251, Best fit sample: 91570, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 252, Best fit sample: 661, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
